[INFO ] 2014-12-01 10:16:18,696(4006) --> [main] org.hibernate.cfg.Configuration.addResource(Configuration.java:728): HHH000221: Reading mappings from resource: hibernate/test/com/basehibernate/model/UserModel.hbm.xml  
[WARN ] 2014-12-01 10:16:18,698(4008) --> [main] org.hibernate.internal.util.xml.DTDEntityResolver.resolveEntity(DTDEntityResolver.java:74): HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!  
[INFO ] 2014-12-01 10:16:18,722(4032) --> [main] org.hibernate.cfg.Configuration.doConfigure(Configuration.java:2151): HHH000041: Configured SessionFactory: null  
[INFO ] 2014-12-01 10:16:18,723(4033) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:98): HHH000402: Using Hibernate built-in connection pool (not for production use!)  
[INFO ] 2014-12-01 10:16:18,724(4034) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:134): HHH000115: Hibernate connection pool size: 20  
[INFO ] 2014-12-01 10:16:18,724(4034) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:137): HHH000006: Autocommit mode: false  
[INFO ] 2014-12-01 10:16:18,724(4034) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:151): HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://127.0.0.1/hibernate_test]  
[INFO ] 2014-12-01 10:16:18,724(4034) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:156): HHH000046: Connection properties: {user=root, password=****}  
[INFO ] 2014-12-01 10:16:18,744(4054) --> [main] org.hibernate.dialect.Dialect.<init>(Dialect.java:130): HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect  
[INFO ] 2014-12-01 10:16:18,744(4054) --> [main] org.hibernate.engine.jdbc.internal.LobCreatorBuilder.useContextualLobCreation(LobCreatorBuilder.java:94): HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [3] less than 4  
[INFO ] 2014-12-01 10:16:18,746(4056) --> [main] org.hibernate.engine.transaction.internal.TransactionFactoryInitiator.initiateService(TransactionFactoryInitiator.java:68): HHH000399: Using default transaction strategy (direct JDBC transactions)  
[INFO ] 2014-12-01 10:16:18,746(4056) --> [main] org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory.<init>(ASTQueryTranslatorFactory.java:48): HHH000397: Using ASTQueryTranslatorFactory  
[INFO ] 2014-12-01 10:16:18,784(4094) --> [main] org.hibernate.cache.spi.UpdateTimestampsCache.<init>(UpdateTimestampsCache.java:61): HHH000250: Starting update timestamps cache at region: org.hibernate.cache.spi.UpdateTimestampsCache  
[WARN ] 2014-12-01 10:16:18,784(4094) --> [main] org.hibernate.cache.ehcache.AbstractEhcacheRegionFactory.getCache(AbstractEhcacheRegionFactory.java:180): HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.spi.UpdateTimestampsCache]; using defaults.  
[INFO ] 2014-12-01 10:16:18,785(4095) --> [main] org.hibernate.cache.internal.StandardQueryCache.<init>(StandardQueryCache.java:86): HHH000248: Starting query cache at region: org.hibernate.cache.internal.StandardQueryCache  
[WARN ] 2014-12-01 10:16:18,785(4095) --> [main] org.hibernate.cache.ehcache.AbstractEhcacheRegionFactory.getCache(AbstractEhcacheRegionFactory.java:180): HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.internal.StandardQueryCache]; using defaults.  
[WARN ] 2014-12-01 10:16:18,788(4098) --> [main] org.hibernate.cache.ehcache.AbstractEhcacheRegionFactory.getCache(AbstractEhcacheRegionFactory.java:180): HHH020003: Could not find a specific ehcache configuration for cache named [hibernate.test.com.basehibernate.model.UserModel]; using defaults.  
[INFO ] 2014-12-01 10:16:44,391(0) --> [main] hibernate.test.com.basehibernate.client.Client.main(Client.java:20): =================  
[INFO ] 2014-12-01 10:16:44,569(178) --> [main] org.hibernate.annotations.common.Version.<clinit>(Version.java:37): HCANN000001: Hibernate Commons Annotations {4.0.2.Final}  
[INFO ] 2014-12-01 10:16:44,574(183) --> [main] org.hibernate.Version.logVersion(Version.java:41): HHH000412: Hibernate Core {4.2.7.SP1}  
[INFO ] 2014-12-01 10:16:44,577(186) --> [main] org.hibernate.cfg.Environment.<clinit>(Environment.java:238): HHH000206: hibernate.properties not found  
[INFO ] 2014-12-01 10:16:44,579(188) --> [main] org.hibernate.cfg.Environment.buildBytecodeProvider(Environment.java:345): HHH000021: Bytecode provider name : javassist  
[INFO ] 2014-12-01 10:16:44,596(205) --> [main] org.hibernate.cfg.Configuration.configure(Configuration.java:2010): HHH000043: Configuring from resource: /hibernate.cfg.xml  
[INFO ] 2014-12-01 10:16:44,596(205) --> [main] org.hibernate.cfg.Configuration.getConfigurationInputStream(Configuration.java:2029): HHH000040: Configuration resource: /hibernate.cfg.xml  
[WARN ] 2014-12-01 10:16:44,636(245) --> [main] org.hibernate.internal.util.xml.DTDEntityResolver.resolveEntity(DTDEntityResolver.java:74): HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!  
[INFO ] 2014-12-01 10:16:44,656(265) --> [main] org.hibernate.cfg.Configuration.addResource(Configuration.java:728): HHH000221: Reading mappings from resource: hibernate/test/com/basehibernate/model/UserModel.hbm.xml  
[WARN ] 2014-12-01 10:16:44,681(290) --> [main] org.hibernate.internal.util.xml.DTDEntityResolver.resolveEntity(DTDEntityResolver.java:74): HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!  
[INFO ] 2014-12-01 10:16:44,712(321) --> [main] org.hibernate.cfg.Configuration.doConfigure(Configuration.java:2151): HHH000041: Configured SessionFactory: null  
[INFO ] 2014-12-01 10:16:44,755(364) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:98): HHH000402: Using Hibernate built-in connection pool (not for production use!)  
[INFO ] 2014-12-01 10:16:44,762(371) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:134): HHH000115: Hibernate connection pool size: 20  
[INFO ] 2014-12-01 10:16:44,762(371) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:137): HHH000006: Autocommit mode: false  
[INFO ] 2014-12-01 10:16:44,763(372) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:151): HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://127.0.0.1/hibernate_test]  
[INFO ] 2014-12-01 10:16:44,763(372) --> [main] org.hibernate.service.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:156): HHH000046: Connection properties: {user=root, password=****}  
[WARN ] 2014-12-01 10:16:44,979(588) --> [main] org.hibernate.engine.jdbc.internal.JdbcServicesImpl.configure(JdbcServicesImpl.java:169): HHH000342: Could not obtain connection to query metadata : Access denied for user 'root'@'localhost' (using password: YES)  
[INFO ] 2014-12-01 10:16:44,989(598) --> [main] org.hibernate.dialect.Dialect.<init>(Dialect.java:130): HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect  
[INFO ] 2014-12-01 10:16:45,000(609) --> [main] org.hibernate.engine.jdbc.internal.LobCreatorBuilder.useContextualLobCreation(LobCreatorBuilder.java:85): HHH000422: Disabling contextual LOB creation as connection was null  
[INFO ] 2014-12-01 10:16:45,053(662) --> [main] org.hibernate.engine.transaction.internal.TransactionFactoryInitiator.initiateService(TransactionFactoryInitiator.java:68): HHH000399: Using default transaction strategy (direct JDBC transactions)  
[INFO ] 2014-12-01 10:16:45,057(666) --> [main] org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory.<init>(ASTQueryTranslatorFactory.java:48): HHH000397: Using ASTQueryTranslatorFactory  
[INFO ] 2014-12-01 10:16:45,251(860) --> [main] org.hibernate.cache.spi.UpdateTimestampsCache.<init>(UpdateTimestampsCache.java:61): HHH000250: Starting update timestamps cache at region: org.hibernate.cache.spi.UpdateTimestampsCache  
[WARN ] 2014-12-01 10:16:45,253(862) --> [main] org.hibernate.cache.ehcache.AbstractEhcacheRegionFactory.getCache(AbstractEhcacheRegionFactory.java:180): HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.spi.UpdateTimestampsCache]; using defaults.  
[INFO ] 2014-12-01 10:16:45,257(866) --> [main] org.hibernate.cache.internal.StandardQueryCache.<init>(StandardQueryCache.java:86): HHH000248: Starting query cache at region: org.hibernate.cache.internal.StandardQueryCache  
[WARN ] 2014-12-01 10:16:45,258(867) --> [main] org.hibernate.cache.ehcache.AbstractEhcacheRegionFactory.getCache(AbstractEhcacheRegionFactory.java:180): HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.internal.StandardQueryCache]; using defaults.  
[WARN ] 2014-12-01 10:16:45,279(888) --> [main] org.hibernate.cache.ehcache.AbstractEhcacheRegionFactory.getCache(AbstractEhcacheRegionFactory.java:180): HHH020003: Could not find a specific ehcache configuration for cache named [hibernate.test.com.basehibernate.model.UserModel]; using defaults.  
[INFO ] 2014-12-01 10:16:45,419(1028) --> [main] org.hibernate.cfg.Configuration.configure(Configuration.java:2010): HHH000043: Configuring from resource: /hibernate.cfg.xml  
